station_code;model;p;d;q;P;D;Q;m;aic;pvalues
82445;(1, 0, 2)(2, 1, 0, 26)[26];1;0;2;2;1;0;26;2769.22782835698;"[9.35128079e-001 7.48613600e-233 2.29591343e-291 1.87780608e-039
 1.03651736e-117 2.09454857e-026 2.92099920e-204]"
83781;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;5660.87724314742;"[1.10876421e-145 1.60012814e-047 9.06690517e-017 1.91381631e-164
 2.16375925e-051 1.47350311e-177]"
82683;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;2602.38034150931;"[1.90013403e-007 1.13705618e-006 5.35250087e-004 2.10315386e-142
 4.30956702e-037 6.64637158e-281]"
A311;(2, 0, 1)(1, 1, 1, 26)[26];2;0;1;1;1;1;26;966.788547668154;"[1.12728466e-29 1.95640532e-03 0.00000000e+00 1.70081856e-01
 2.99409646e-26 4.91067294e-56]"
A119;(1, 0, 1)(2, 1, 0, 26)[26];1;0;1;2;1;0;26;587.310080471127;"[7.53316493e-04 6.58750047e-80 2.33776161e-29 2.99566121e-09
 5.25943908e-31]"
A906;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;915.937597795733;"[9.22919109e-07 2.16096989e-02 1.45828215e-04 1.27137915e-55
 3.38620848e-27 3.06944138e-76]"
A422;(0, 0, 0)(2, 1, 0, 26)[26];0;0;0;2;1;0;26;459.088864486297;[2.57236958e-13 5.18271808e-06 4.74116692e-34]
A045;(3, 0, 2)(2, 1, 2, 26)[26];3;0;2;2;1;2;26;666.656792765514;"[9.46193148e-01 2.71590764e-14 1.93798091e-03 8.33372090e-02
 5.58620172e-01 5.14132134e-62 3.98688723e-01 1.16161380e-03
 7.64805374e-03 2.55518614e-01 2.45669890e-64]"
A316;(3, 0, 0)(2, 1, 0, 26)[26];3;0;0;2;1;0;26;780.434929334677;"[6.48269425e-07 3.33807728e-04 3.86600671e-02 1.82445280e-39
 1.51218710e-09 8.95946286e-60]"
A032;(0, 0, 3)(2, 1, 1, 26)[26];0;0;3;2;1;1;26;862.00820869818;"[1.57369139e-07 1.65738036e-04 9.61506563e-08 5.69608597e-02
 1.69402059e-01 1.25249296e-02 5.83953761e-48]"
