REGIAO;UF;ESTACAO;CODIGO;LATITUDE;LONGITUDE;ALTITUDE
SE;MG;FORMIGA;A524;-20.45472222;-45.45388888;873.0
SE;MG;SACRAMENTO;A525;-19.87527777;-47.43416666;912.0
SE;MG;TEOFILO OTONI;A527;-17.9;-41.51666666;475.0
SE;MG;TRES MARIAS;A528;-18.20055555;-45.45972222;921.0
SE;MG;CALDAS;A530;-21.91805554;-46.38305554;1150.0
SE;MG;MARIA DA FE;A531;-22.31444444;-45.37277777;1276.33
SE;MG;CURVELO;A538;-18.76444444;-44.45361111;670.0
SE;RJ;ARRAIAL DO CABO;A606;-22.98333333;-42.01666666;4.0
SE;RJ;CAMPOS;A607;-21.71666666;-41.35;25.0
SE;RJ;MACAE;A608;-22.38333333;-41.81666667;32.0
SE;RJ;RESENDE;A609;-22.45;-44.45;439.89
SE;RJ;PICO DO COUTO;A610;-22.48166666;-43.29138888;1777.0
SE;RJ;VALENCA;A611;-22.35;-43.7;367.0
SE;RJ;TERESOPOLIS;A618;-22.44888888;-42.98722221;980.0
SE;SP;SAO PAULO - MIRANTE;A701;-23.48333333;-46.61666666;792.06
SE;SP;SAO CARLOS;A711;-21.97972221;-47.88333333;863.0
SE;SP;IGUAPE;A712;-24.71666666;-47.55;2.66
SE;SP;SOROCABA;A713;-23.35;-47.66666666;609.0
SE;SP;ITAPEVA;A714;-23.98138888;-48.88527777;745.0
SE;SP;SAO MIGUEL ARCANJO;A715;-23.85138888;-48.16444444;678.0
SE;SP;RANCHARIA;A718;-22.37249999;-50.97416666;398.0
SE;SP;AVARE;A725;-23.09972221;-48.94555555;775.0
SE;SP;PIRACICABA;A726;-22.70277777;-47.62305554;573.0
SE;SP;LINS;A727;-21.66527777;-49.73416666;450.0
SE;SP;TAUBATE;A728;-23.04194444;-45.52027777;571.0
SE;SP;VOTUPORANGA;A729;-20.40305555;-49.96583333;465.0
S;PR;IVAI;A818;-25.01333333;-50.8711111;808.0
S;PR;CASTRO;A819;-24.78944444;-49.99972221;1007.76
S;PR;MAL. CANDIDO RONDON;A820;-24.53583333;-54.01972221;392.0
S;PR;NOVA TEBAS;A822;-24.43722221;-51.96305555;654.0
S;PR;INACIO MARTINS;A823;-25.56583333;-51.08944444;1260.0
S;PR;ICARAIMA;A824;-23.39027777;-53.63472221;385.0
S;PR;MARINGA;A835;-23.40777777;-51.91666666;542.0
S;RS;TORRES;A808;-29.35027777;-49.73305554;4.66
S;RS;SANTA ROSA;A810;-27.89305555;-54.48055554;276.0
S;RS;CACAPAVA DO SUL;A812;-30.54777777;-53.46749999;420.0
S;RS;RIO PARDO;A813;-29.87333332;-52.38249999;111.0
S;RS;ALEGRETE;A826;-29.71166666;-55.5261111;121.0
